Vocabulary,Segmented Vocabulary,Telex Combination
xatanh,xatanh,xatanh
xàu,xàu,xafu
xạu mặt,xạu_mặt,xaju_mawjt
xay,xay,xay
xay,xay,xay
xay lúa thì đừng ẵm em,xay_lúa_thì_đừng_ẵm_em,xay_lusa_thif_dduwfng_awxm_em
xay lúa thì khỏi ẵm em,xay_lúa_thì_khỏi_ẵm_em,xay_lusa_thif_khori_awxm_em
xay thóc thì đừng ẵm em,xay_thóc_thì_đừng_ẵm_em,xay_thosc_thif_dduwfng_awxm_em
xay xát,xay_xát,xay_xast
xảy,xảy,xary
xảy ra,xảy_ra,xary_ra
xảy ra,xảy_ra,xary_ra
xáy,xáy,xasy
xắc,xắc,xawsc
xắc-cốt,xắc-cốt,xawsc-coost
xắc cốt,xắc_cốt,xawsc_coost
xắc mắc,xắc_mắc,xawsc_mawsc
xắc xói,xắc_xói,xawsc_xosi
xăm,xăm,xawm
xăm,xăm,xawm
xăm mình,xăm_mình,xawm_mifnh
xăm mình,xăm_mình,xawm_mifnh
xăm xăm,xăm_xăm,xawm_xawm
xăm xắm,xăm_xắm,xawm_xawsm
xăm xắn,xăm_xắn,xawm_xawsn
xăm xắp,xăm_xắp,xawm_xawsp
xăm xỉa,xăm_xỉa,xawm_xira
xăm xoi,xăm_xoi,xawm_xoi
xăm xúi,xăm_xúi,xawm_xusi
xắm khống,xắm_khống,xawsm_khoosng
xắm nắm,xắm_nắm,xawsm_nawsm
xăn,xăn,xawn
xăn văn,xăn_văn,xawn_vawn
xắn,xắn,xawsn
xắn,xắn,xawsn
xắn móng lợn,xắn_móng_lợn,xawsn_mosng_lowjn
xắn váy quai cồng,xắn_váy_quai_cồng,xawsn_vasy_quai_coofng
xăng,xăng,xawng
xăng,xăng,xawng
xăng dầu,xăng_dầu,xawng_daafu
xăng-đá,xăng-đá,xawng-ddas
xăng-đan,xăng-đan,xawng-ddan
xăng nhớt,xăng_nhớt,xawng_nhowst
xăng-tan,xăng-tan,xawng-tan
xăng-ti-mét,xăng-ti-mét,xawng-ti-mest
xăng-tô-nin,xăng-tô-nin,xawng-too-nin
xăng văng,xăng_văng,xawng_vawng
xăng xái,xăng_xái,xawng_xasi
xăng xít,xăng_xít,xawng_xist
xằng,xằng,xawfng
xằng bậy,xằng_bậy,xawfng_baajy
xằng xiên,xằng_xiên,xawfng_xieen
xằng xịt,xằng_xịt,xawfng_xijt
xẵng,xẵng,xawxng
xẵng,xẵng,xawxng
xẵng giọng,xẵng_giọng,xawxng_giojng
xắp,xắp,xawsp
xắt,xắt,xawst
xấc,xấc,xaasc
xấc,xấc,xaasc
xấc láo,xấc_láo,xaasc_laso
xấc lấc,xấc_lấc,xaasc_laasc
xấc xược,xấc_xược,xaasc_xuwowjc
xấc xược,xấc_xược,xaasc_xuwowjc
xâm,xâm,xaam
xâm canh,xâm_canh,xaam_canh
xâm chiếm,xâm_chiếm,xaam_chieesm
xâm chiếm,xâm_chiếm,xaam_chieesm
xâm đoạt,xâm_đoạt,xaam_ddoajt
xâm hại,xâm_hại,xaam_haji
xâm lăng,xâm_lăng,xaam_lawng
xâm lấn,xâm_lấn,xaam_laasn
xâm lược,xâm_lược,xaam_luwowjc
xâm lược,xâm_lược,xaam_luwowjc
xâm mặt,xâm_mặt,xaam_mawjt
xâm nhập,xâm_nhập,xaam_nhaajp
xâm nhập,xâm_nhập,xaam_nhaajp
xâm nhiễm,xâm_nhiễm,xaam_nhieexm
xâm phạm,xâm_phạm,xaam_phajm
xâm phạm,xâm_phạm,xaam_phajm
xâm thực,xâm_thực,xaam_thuwjc
xâm xẩm,xâm_xẩm,xaam_xaarm
xâm xấp,xâm_xấp,xaam_xaasp
xầm xì,xầm_xì,xaafm_xif
xẩm,xẩm,xaarm
xẩm mặt trời,xẩm_mặt_trời,xaarm_mawjt_trowfi
xẩm vớ được gậy,xẩm_vớ_được_gậy,xaarm_vows_dduwowjc_gaajy
xẩm xoan,xẩm_xoan,xaarm_xoan
xậm xịt,xậm_xịt,xaajm_xijt
xẩn vẩn,xẩn_vẩn,xaarn_vaarn
xấp,xấp,xaasp
xấp giọng,xấp_giọng,xaasp_giojng
xấp xỉ,xấp_xỉ,xaasp_xir
xấp xỉ,xấp_xỉ,xaasp_xir
xấp xí xập ngầu,xấp_xí_xập_ngầu,xaasp_xis_xaajp_ngaafu
xập xè,xập_xè,xaajp_xef
xập xệ,xập_xệ,xaajp_xeej
xập xí xập ngầu,xập_xí_xập_ngầu,xaajp_xis_xaajp_ngaafu
xập xình,xập_xình,xaajp_xifnh
xập xòe,xập_xòe,xaajp_xofe
xập xoè,xập_xoè,xaajp_xoef
xâu,xâu,xaau
xâu,xâu,xaau
xâu chuỗi,xâu_chuỗi,xaau_chuooxi
xâu dịch,xâu_dịch,xaau_dijch
xâu tai,xâu_tai,xaau_tai
xâu xé,xâu_xé,xaau_xes
xâu xé,xâu_xé,xaau_xes
xầu,xầu,xaafu
xầu bọt mép,xầu_bọt_mép,xaafu_bojt_mesp
xẩu,xẩu,xaaru
xấu,xấu,xaasu
xấu,xấu,xaasu
xấu bao thì xấu bì,xấu_bao_thì_xấu_bì,xaasu_bao_thif_xaasu_bif
xấu bụng,xấu_bụng,xaasu_bujng
xấu chàng hổ ai,xấu_chàng_hổ_ai,xaasu_chafng_hoor_ai
xấu chơi,xấu_chơi,xaasu_chowi
xấu chữ nhưng lành nghĩa,xấu_chữ_nhưng_lành_nghĩa,xaasu_chuwx_nhuwng_lafnh_nghixa
xấu có cấu mà ăn,xấu_có_cấu_mà_ăn,xaasu_cos_caasu_maf_awn
xấu dạ,xấu_dạ,xaasu_daj
xấu dây mẩy củ,xấu_dây_mẩy_củ,xaasu_daay_maary_cur
xấu đánh trấu ra vàng,xấu_đánh_trấu_ra_vàng,xaasu_ddasnh_traasu_ra_vafng
xấu đều hơn tốt lỏi,xấu_đều_hơn_tốt_lỏi,xaasu_ddeefu_hown_toost_lori
xấu đói,xấu_đói,xaasu_ddosi
xấu đổi thiếu bù,xấu_đổi_thiếu_bù,xaasu_ddoori_thieesu_buf
xấu gỗ tốt nước sơn,xấu_gỗ_tốt_nước_sơn,xaasu_goox_toost_nuwowsc_sown
"xấu hay làm tốt, dốt hay nói chữ","xấu_hay_làm_tốt,_dốt_hay_nói_chữ","xaasu_hay_lafm_toost,_doost_hay_nosi_chuwx"
xấu hoắc,xấu_hoắc,xaasu_hoawsc
xấu hổ,xấu_hổ,xaasu_hoor
xấu hổ,xấu_hổ,xaasu_hoor
xấu hổ lấy rổ mà che,xấu_hổ_lấy_rổ_mà_che,xaasu_hoor_laasy_roor_maf_che
xấu mã có duyên thầm,xấu_mã_có_duyên_thầm,xaasu_max_cos_duyeen_thaafm
xấu máu,xấu_máu,xaasu_masu
xấu máu đòi ăn của độc,xấu_máu_đòi_ăn_của_độc,xaasu_masu_ddofi_awn_cura_ddoojc
xấu mặt,xấu_mặt,xaasu_mawjt
xấu mặt chặt dạ,xấu_mặt_chặt_dạ,xaasu_mawjt_chawjt_daj
xấu mặt xin tương cả phường cùng húp,xấu_mặt_xin_tương_cả_phường_cùng_húp,xaasu_mawjt_xin_tuwowng_car_phuwowfng_cufng_husp
xấu múa,xấu_múa,xaasu_musa
xấu nết,xấu_nết,xaasu_neest
xấu nết,xấu_nết,xaasu_neest
xấu nghĩa,xấu_nghĩa,xaasu_nghixa
xấu người tốt nết,xấu_người_tốt_nết,xaasu_nguwowfi_toost_neest
xấu như cú,xấu_như_cú,xaasu_nhuw_cus
xấu như dạ-xoa,xấu_như_dạ-xoa,xaasu_nhuw_daj-xoa
xấu như ma,xấu_như_ma,xaasu_nhuw_ma
xấu như ma lem,xấu_như_ma_lem,xaasu_nhuw_ma_lem
xấu như ma mút,xấu_như_ma_mút,xaasu_nhuw_ma_must
xấu òm,xấu_òm,xaasu_ofm
xấu số,xấu_số,xaasu_soos
xấu số,xấu_số,xaasu_soos
xấu tay,xấu_tay,xaasu_tay
xấu thói,xấu_thói,xaasu_thosi
xấu tính,xấu_tính,xaasu_tisnh
xấu tính xấu nết,xấu_tính_xấu_nết,xaasu_tisnh_xaasu_neest
xấu vía,xấu_vía,xaasu_visa
xấu xa,xấu_xa,xaasu_xa
xấu xa,xấu_xa,xaasu_xa
xấu xí,xấu_xí,xaasu_xis
xấu xí,xấu_xí,xaasu_xis
xây,xây,xaay
xây,xây,xaay
xây cất,xây_cất,xaay_caast
xây dựng,xây_dựng,xaay_duwjng
xây dựng,xây_dựng,xaay_duwjng
xây dựng cơ bản,xây_dựng_cơ_bản,xaay_duwjng_cow_barn
xây dựng gia đình,xây_dựng_gia_đình,xaay_duwjng_gia_ddifnh
xây đắp,xây_đắp,xaay_ddawsp
xây lắp,xây_lắp,xaay_lawsp
xây lâu đài trên cát,xây_lâu_đài_trên_cát,xaay_laau_ddafi_treen_cast
xây thành đắp lũy,xây_thành_đắp_lũy,xaay_thafnh_ddawsp_luxy
xây xát,xây_xát,xaay_xast
xây xẩm,xây_xẩm,xaay_xaarm
xây xẩm,xây_xẩm,xaay_xaarm
xẩy,xẩy,xaary
xe,xe,xe
xe,xe,xe
xe ba bánh,xe_ba_bánh,xe_ba_basnh
xe ba gác,xe_ba_gác,xe_ba_gasc
xe ba-gác,xe_ba-gác,xe_ba-gasc
xe băng-ca,xe_băng-ca,xe_bawng-ca
xe ben,xe_ben,xe_ben
xe bình bịch,xe_bình_bịch,xe_bifnh_bijch
xe bò,xe_bò,xe_bof
xe bò,xe_bò,xe_bof
xe bọc sắt,xe_bọc_sắt,xe_bojc_sawst
xe bọc thép,xe_bọc_thép,xe_bojc_thesp
xe bù ệt,xe_bù_ệt,xe_buf_eejt
xe buýt,xe_buýt,xe_buyst
xe buýt,xe_buýt,xe_buyst
xe ca,xe_ca,xe_ca
xe cải tiến,xe_cải_tiến,xe_cari_tieesn
xe cam-nhông,xe_cam-nhông,xe_cam-nhoong
xe cao su,xe_cao_su,xe_cao_su
xe châu,xe_châu,xe_chaau
xe chỉ buộc chân voi,xe_chỉ_buộc_chân_voi,xe_chir_buoojc_chaan_voi
xe chỉ buộc tay,xe_chỉ_buộc_tay,xe_chir_buoojc_tay
xe chở dầu,xe_chở_dầu,xe_chowr_daafu
xe chữa cháy,xe_chữa_cháy,xe_chuwxa_chasy
xe con,xe_con,xe_con
xe cộ,xe_cộ,xe_cooj
xe cộ,xe_cộ,xe_cooj
xe cơ giới,xe_cơ_giới,xe_cow_giowsi
xe cút kít,xe_cút_kít,xe_cust_kist
xe cứu hỏa,xe_cứu_hỏa,xe_cuwsu_hora
xe cứu hoả,xe_cứu_hoả,xe_cuwsu_hoar
xe cứu thương,xe_cứu_thương,xe_cuwsu_thuwowng
xe cứu thương,xe_cứu_thương,xe_cuwsu_thuwowng
xe dây,xe_dây,xe_daay
xe dây buộc mình,xe_dây_buộc_mình,xe_daay_buoojc_mifnh
xe dê,xe_dê,xe_dee
xe du lịch,xe_du_lịch,xe_du_lijch
xe du lịch,xe_du_lịch,xe_du_lijch
xe duyên,xe_duyên,xe_duyeen
xe đám,xe_đám,xe_ddasm
xe đạp,xe_đạp,xe_ddajp
xe đạp,xe_đạp,xe_ddajp
xe đạp máy,xe_đạp_máy,xe_ddajp_masy
xe đạp nước,xe_đạp_nước,xe_ddajp_nuwowsc
xe đẩy hàng,xe_đẩy_hàng,xe_ddaary_hafng
xe điện,xe_điện,xe_ddieejn
xe điện,xe_điện,xe_ddieejn
xe điện bánh hơi,xe_điện_bánh_hơi,xe_ddieejn_basnh_howi
xe điện ngầm,xe_điện_ngầm,xe_ddieejn_ngaafm
xe điếu,xe_điếu,xe_ddieesu
xe đò,xe_đò,xe_ddof
xe đò,xe_đò,xe_ddof
xe đòn,xe_đòn,xe_ddofn
xe đổ thùng,xe_đổ_thùng,xe_ddoor_thufng
xe độc mã,xe_độc_mã,xe_ddoojc_max
xe gắn máy,xe_gắn_máy,xe_gawsn_masy
xe gắn máy,xe_gắn_máy,xe_gawsn_masy
xe gió,xe_gió,xe_gios
xe gíp,xe_gíp,xe_gisp
xe goòng,xe_goòng,xe_goofng
xe hàng,xe_hàng,xe_hafng
xe hẩy,xe_hẩy,xe_haary
xe hỏa,xe_hỏa,xe_hora
xe hỏa,xe_hỏa,xe_hora
xe hoả,xe_hoả,xe_hoar
xe hòm,xe_hòm,xe_hofm
xe hơi,xe_hơi,xe_howi
xe jeep,xe_jeep,xe_jeep
xe kéo,xe_kéo,xe_keso
xe khách,xe_khách,xe_khasch
xe lam,xe_lam,xe_lam
xe lang,xe_lang,xe_lang
xe lăn,xe_lăn,xe_lawn
xe lăn đường,xe_lăn_đường,xe_lawn_dduwowfng
xe lết,xe_lết,xe_leest
xe lọ,xe_lọ,xe_loj
xe loan,xe_loan,xe_loan
xe lôi,xe_lôi,xe_looi
xe lội nước,xe_lội_nước,xe_looji_nuwowsc
xe lơi,xe_lơi,xe_lowi
xe lu,xe_lu,xe_lu
xe-lu-lô,xe-lu-lô,xe-lu-loo
xe lửa,xe_lửa,xe_luwra
xe máy,xe_máy,xe_masy
xe-mi-na,xe-mi-na,xe-mi-na
xe moóc,xe_moóc,xe_moosc
xe mô-tô,xe_mô-tô,xe_moo-too
xe ngựa,xe_ngựa,xe_nguwja
xe-non,xe-non,xe-non
xe nôi,xe_nôi,xe_nooi
xe nước,xe_nước,xe_nuwowsc
xe ô-tô,xe_ô-tô,xe_oo-too
xe ôm,xe_ôm,xe_oom
xe pháo,xe_pháo,xe_phaso
xe quệt,xe_quệt,xe_queejt
xe rác,xe_rác,xe_rasc
xe-re-nát,xe-re-nát,xe-re-nast
xe rơ-moóc,xe_rơ-moóc,xe_row-moosc
xe song mã,xe_song_mã,xe_song_max
xe tải,xe_tải,xe_tari
xe tang,xe_tang,xe_tang
xe tang,xe_tang,xe_tang
xe tay,xe_tay,xe_tay
xe tắc-xi,xe_tắc-xi,xe_tawsc-xi
xe tăng,xe_tăng,xe_tawng
xe téc,xe_téc,xe_tesc
xe thiết giáp,xe_thiết_giáp,xe_thieest_giasp
xe thồ,xe_thồ,xe_thoof
xe thồ mộ,xe_thồ_mộ,xe_thoof_mooj
xe thổ mộ,xe_thổ_mộ,xe_thoor_mooj
xe thư,xe_thư,xe_thuw
xe tốc hành,xe_tốc_hành,xe_toosc_hafnh
xe tơ,xe_tơ,xe_tow
xe tơ kết tóc,xe_tơ_kết_tóc,xe_tow_keest_tosc
xe trâu,xe_trâu,xe_traau
xe trượt tuyết,xe_trượt_tuyết,xe_truwowjt_tuyeest
xe tứ mã,xe_tứ_mã,xe_tuws_max
xe tưới đường,xe_tưới_đường,xe_tuwowsi_dduwowfng
xe ủi đất,xe_ủi_đất,xe_uri_ddaast
xe vận tải,xe_vận_tải,xe_vaajn_tari
xe xích,xe_xích,xe_xisch
xe xích-lô,xe_xích-lô,xe_xisch-loo
xè xè,xè_xè,xef_xef
xẻ,xẻ,xer
xẻ,xẻ,xer
xẻ dọc,xẻ_dọc,xer_dojc
xẻ nghé tan đàn,xẻ_nghé_tan_đàn,xer_nghes_tan_ddafn
xẻ núi lấp sông,xẻ_núi_lấp_sông,xer_nusi_laasp_soong
xẻ núi ngăn sông,xẻ_núi_ngăn_sông,xer_nusi_ngawn_soong
xẻ ván bán thuyền,xẻ_ván_bán_thuyền,xer_vasn_basn_thuyeefn
xé,xé,xes
xé,xé,xes
xé lẻ,xé_lẻ,xes_ler
xé mắm hòng mút tay,xé_mắm_hòng_mút_tay,xes_mawsm_hofng_must_tay
xé mắm mút tay,xé_mắm_mút_tay,xes_mawsm_must_tay
xé phay,xé_phay,xes_phay
xé rào,xé_rào,xes_rafo
xé ruột,xé_ruột,xes_ruoojt
xé ruột xé gan,xé_ruột_xé_gan,xes_ruoojt_xes_gan
xé tai,xé_tai,xes_tai
xé tan,xé_tan,xes_tan
xé toạc,xé_toạc,xes_toajc
xé vạt vá vai,xé_vạt_vá_vai,xes_vajt_vas_vai
xé xác,xé_xác,xes_xasc
xéc,xéc,xesc
xéc,xéc,xesc
xéc-măng,xéc-măng,xesc-mawng
xéc-ti-phi-ca,xéc-ti-phi-ca,xesc-ti-phi-ca
xẹc,xẹc,xejc
xẹc-ti-phi-ca,xẹc-ti-phi-ca,xejc-ti-phi-ca
xelulo,xelulo,xelulo
xem,xem,xem
xem,xem,xem
xem bệnh,xem_bệnh,xem_beejnh
xem bói,xem_bói,xem_bosi
xem chừng,xem_chừng,xem_chuwfng
xem giò,xem_giò,xem_giof
xem hát,xem_hát,xem_hast
xem hội,xem_hội,xem_hooji
xem khinh,xem_khinh,xem_khinh
xem lại,xem_lại,xem_laji
xem lễ,xem_lễ,xem_leex
xem mạch,xem_mạch,xem_majch
xem mặt,xem_mặt,xem_mawjt
xem nào,xem_nào,xem_nafo
xem ngày,xem_ngày,xem_ngafy
xem nhẹ,xem_nhẹ,xem_nhej
xem ra,xem_ra,xem_ra
xem tay,xem_tay,xem_tay
xem thường,xem_thường,xem_thuwowfng
xem thường xem khinh,xem_thường_xem_khinh,xem_thuwowfng_xem_khinh
xem trong bếp biết nết đàn bà,xem_trong_bếp_biết_nết_đàn_bà,xem_trong_beesp_bieest_neest_ddafn_baf
xem tuổi,xem_tuổi,xem_tuoori
xem tử vi,xem_tử_vi,xem_tuwr_vi
xem tướng,xem_tướng,xem_tuwowsng
xem xét,xem_xét,xem_xest
xem xét,xem_xét,xem_xest
xém,xém,xesm
xemina,xemina,xemina
xen,xen,xen
xen,xen,xen
xen canh,xen_canh,xen_canh
xen-đầm,xen-đầm,xen-ddaafm
xen kẽ,xen_kẽ,xen_kex
xen lẫn,xen_lẫn,xen_laaxn
xen-lô,xen-lô,xen-loo
xen-lu-lô,xen-lu-lô,xen-lu-loo
xen-luy-lô,xen-luy-lô,xen-luy-loo
xen-ti,xen-ti,xen-ti
xen-tim,xen-tim,xen-tim
xèn xẹt,xèn_xẹt,xefn_xejt
xẻn lẻn,xẻn_lẻn,xern_lern
xén,xén,xesn
xén,xén,xesn
xén tóc,xén_tóc,xesn_tosc
xèng,xèng,xefng
xẻng,xẻng,xerng
xẻng lẻng,xẻng_lẻng,xerng_lerng
xenlô,xenlô,xenloo
xenon,xenon,xenon
xenti,xenti,xenti
xeo,xeo,xeo
xeo nạy,xeo_nạy,xeo_najy
xèo,xèo,xefo
xèo xèo,xèo_xèo,xefo_xefo
xẻo,xẻo,xero
xẽo,xẽo,xexo
xéo,xéo,xeso
xéo,xéo,xeso
xéo xẹo,xéo_xẹo,xeso_xejo
xéo xó,xéo_xó,xeso_xos
xéo xó xẹo xọ,xéo_xó_xẹo_xọ,xeso_xos_xejo_xoj
xẹo,xẹo,xejo
xẹo,xẹo,xejo
xẹo xiên,xẹo_xiên,xejo_xieen
xẹo xọ,xẹo_xọ,xejo_xoj
xép,xép,xesp
xép xẹp,xép_xẹp,xesp_xejp
xẹp,xẹp,xejp
xẹp,xẹp,xejp
xẹp lép,xẹp_lép,xejp_lesp
xerenat,xerenat,xerenat
xét,xét,xest
xét cho cùng,xét_cho_cùng,xest_cho_cufng
xét duyệt,xét_duyệt,xest_duyeejt
xét đến cùng,xét_đến_cùng,xest_ddeesn_cufng
xét đoán,xét_đoán,xest_ddoasn
xét đoán,xét_đoán,xest_ddoasn
xét hỏi,xét_hỏi,xest_hori
xét hỏi,xét_hỏi,xest_hori
xét lại,xét_lại,xest_laji
xét mình,xét_mình,xest_mifnh
xét nét,xét_nét,xest_nest
xét nết,xét_nết,xest_neest
xét nghiệm,xét_nghiệm,xest_nghieejm
xét soi,xét_soi,xest_soi
xét xử,xét_xử,xest_xuwr
xét xử,xét_xử,xest_xuwr
xẹt,xẹt,xejt
xê,xê,xee
xê cố,xê_cố,xee_coos
xê dịch,xê_dịch,xee_dijch
xê dịch,xê_dịch,xee_dijch
xê-mi-na,xê-mi-na,xee-mi-na
xê-mi-ne,xê-mi-ne,xee-mi-ne
xê-rê-nát,xê-rê-nát,xee-ree-nast
xê-ri,xê-ri,xee-ri
xê xế,xê_xế,xee_xees
xê xích,xê_xích,xee_xisch
xê xích,xê_xích,xee_xisch
xề xệ,xề_xệ,xeef_xeej
xể,xể,xeer
xế,xế,xees
xế,xế,xees
xế bóng,xế_bóng,xees_bosng
xế chiều,xế_chiều,xees_chieefu
xế cửa,xế_cửa,xees_cuwra
xế tà,xế_tà,xees_taf
xế trưa,xế_trưa,xees_truwa
xế tuổi,xế_tuổi,xees_tuoori
xệ,xệ,xeej
xếch,xếch,xeesch
xếch,xếch,xeesch
xếch mé,xếch_mé,xeesch_mes
xếch xác,xếch_xác,xeesch_xasc
xệch,xệch,xeejch
xệch xạc,xệch_xạc,xeejch_xajc
xệch xoạc,xệch_xoạc,xeejch_xoajc
xềm xệp,xềm_xệp,xeefm_xeejp
xên,xên,xeen
xênh xang,xênh_xang,xeenh_xang
xềnh xệch,xềnh_xệch,xeefnh_xeejch
xềnh xoàng,xềnh_xoàng,xeefnh_xoafng
xếp,xếp,xeesp
xếp,xếp,xeesp
xếp ải,xếp_ải,xeesp_ari
xếp bằng,xếp_bằng,xeesp_bawfng
xếp bằng tròn,xếp_bằng_tròn,xeesp_bawfng_trofn
xếp bút nghiên,xếp_bút_nghiên,xeesp_bust_nghieen
xếp chữ,xếp_chữ,xeesp_chuwx
xếp dọn,xếp_dọn,xeesp_dojn
xếp dỡ,xếp_dỡ,xeesp_dowx
xếp đặt,xếp_đặt,xeesp_ddawjt
xếp đặt,xếp_đặt,xeesp_ddawjt
xếp đống,xếp_đống,xeesp_ddoosng
xếp hàng,xếp_hàng,xeesp_hafng
xếp hàng,xếp_hàng,xeesp_hafng
xếp hạng,xếp_hạng,xeesp_hajng
xếp loại,xếp_loại,xeesp_loaji
xếp nếp,xếp_nếp,xeesp_neesp
xếp xó,xếp_xó,xeesp_xos
xệp,xệp,xeejp
xêri,xêri,xeeri
xêu,xêu,xeeu
xều,xều,xeefu
xều bọt mép,xều_bọt_mép,xeefu_bojt_mesp
xệu xạo,xệu_xạo,xeeju_xajo
xhcn,xhcn,xhcn
xi,xi,xi
xi,xi,xi
xi-béc-nê-tích,xi-béc-nê-tích,xi-besc-nee-tisch
xi-căng-đan,xi-căng-đan,xi-cawng-ddan
xi-đa,xi-đa,xi-dda
xi-lanh,xi-lanh,xi-lanh
xi lanh,xi_lanh,xi_lanh
xi-líp,xi-líp,xi-lisp
xi líp,xi_líp,xi_lisp
xi-lô,xi-lô,xi-loo
xi-măng,xi-măng,xi-mawng
xi măng,xi_măng,xi_mawng
xi-moong,xi-moong,xi-moong
xi-mô-kinh,xi-mô-kinh,xi-moo-kinh
xi-nê,xi-nê,xi-nee
xi-nhan,xi-nhan,xi-nhan
xi nhan,xi_nhan,xi_nhan
xi-nhê,xi-nhê,xi-nhee
xi-phông,xi-phông,xi-phoong
xi-ren,xi-ren,xi-ren
xi-rô,xi-rô,xi-roo
xi rô,xi_rô,xi_roo
xi ta,xi_ta,xi_ta
xi-ta,xi-ta,xi-ta
xi-téc,xi-téc,xi-tesc
xi-tẹc,xi-tẹc,xi-tejc
xi-vin,xi-vin,xi-vin
xì,xì,xif
xì,xì,xif
xì- ke,xì-_ke,xif-_ke
xì căng đan,xì_căng_đan,xif_cawng_ddan
xì-căng-đan,xì-căng-đan,xif-cawng-ddan
xì cấu,xì_cấu,xif_caasu
xì-cút,xì-cút,xif-cust
xì dầu,xì_dầu,xif_daafu
xì đạt,xì_đạt,xif_ddajt
xì đồng,xì_đồng,xif_ddoofng
xì-gà,xì-gà,xif-gaf
xì gà,xì_gà,xif_gaf
xì hơi,xì_hơi,xif_howi
xì ke,xì_ke,xif_ke
xì xà xì xồ,xì_xà_xì_xồ,xif_xaf_xif_xoof
xì xà xì xụp,xì_xà_xì_xụp,xif_xaf_xif_xujp
xì xào,xì_xào,xif_xafo
xì xào,xì_xào,xif_xafo
xì xằng,xì_xằng,xif_xawfng
xì xầm,xì_xầm,xif_xaafm
xì xèo,xì_xèo,xif_xefo
xì xì,xì_xì,xif_xif
xì xị,xì_xị,xif_xij
xì xòm,xì_xòm,xif_xofm
xì xồ,xì_xồ,xif_xoof
xì xục,xì_xục,xif_xujc
xì xụp,xì_xụp,xif_xujp
xì xụt,xì_xụt,xif_xujt
xỉ,xỉ,xir
xỉ,xỉ,xir
xỉ than,xỉ_than,xir_than
xỉ vả,xỉ_vả,xir_var
xì3,xì3,xif3
xí,xí,xis
xí đồ,xí_đồ,xis_ddoof
xí gạt,xí_gạt,xis_gajt
xí muội,xí_muội,xis_muooji
xí nghiệp,xí_nghiệp,xis_nghieejp
xí nghiệp,xí_nghiệp,xis_nghieejp
xí quách,xí_quách,xis_quasch
xí xoá,xí_xoá,xis_xoas
xí xố,xí_xố,xis_xoos
xị,xị,xij
xị mặt,xị_mặt,xij_mawjt
xia,xia,xia
xìa,xìa,xifa
xỉa,xỉa,xira
xỉa,xỉa,xira
xỉa xói,xỉa_xói,xira_xosi
xía,xía,xisa
xibecnetic,xibecnetic,xibecnetic
xích,xích,xisch
xích,xích,xisch
xích đạo,xích_đạo,xisch_ddajo
xích đạo,xích_đạo,xisch_ddajo
xích đế,xích_đế,xisch_ddees
xích-đông,xích-đông,xisch-ddoong
xích đông,xích_đông,xisch_ddoong
xích đới,xích_đới,xisch_ddowsi
xích đu,xích_đu,xisch_ddu
xích đu,xích_đu,xisch_ddu
xích hầu,xích_hầu,xisch_haafu
xích lại,xích_lại,xisch_laji
xích-lô,xích-lô,xisch-loo
xích lô,xích_lô,xisch_loo
xích ma,xích_ma,xisch_ma
xích mích,xích_mích,xisch_misch
xích mích,xích_mích,xisch_misch
xích tay,xích_tay,xisch_tay
xích tâm,xích_tâm,xisch_taam
xích thằng,xích_thằng,xisch_thawfng
xích thố,xích_thố,xisch_thoos
xích thố,xích_thố,xisch_thoos
xích tử,xích_tử,xisch_tuwr
xích vệ,xích_vệ,xisch_veej
xích xiềng,xích_xiềng,xisch_xieefng
xịch,xịch,xijch
xichlô,xichlô,xichloo
xiếc,xiếc,xieesc
xiếc,xiếc,xieesc
xiêm,xiêm,xieem
xiêm áo,xiêm_áo,xieem_aso
xiêm nghê,xiêm_nghê,xieem_nghee
xiêm y,xiêm_y,xieem_y
xiểm nịnh,xiểm_nịnh,xieerm_nijnh
xiên,xiên,xieen
xiên,xiên,xieen
xiên góc,xiên_góc,xieen_gosc
xiên khoai,xiên_khoai,xieen_khoai
xiên ngang,xiên_ngang,xieen_ngang
xiên xẹo,xiên_xẹo,xieen_xejo
xiên xiên,xiên_xiên,xieen_xieen
xiên xỏ,xiên_xỏ,xieen_xor
xiên xọ,xiên_xọ,xieen_xoj
xiên2,xiên2,xieen2
xiển minh,xiển_minh,xieern_minh
xiềng,xiềng,xieefng
xiềng,xiềng,xieefng
xiềng gông,xiềng_gông,xieefng_goong
xiềng xích,xiềng_xích,xieefng_xisch
xiểng liểng,xiểng_liểng,xieerng_lieerng
xiết,xiết,xieest
xiết,xiết,xieest
xiết bao,xiết_bao,xieest_bao
xiết chi,xiết_chi,xieest_chi
xiết đâu,xiết_đâu,xieest_ddaau
xiết nỗi,xiết_nỗi,xieest_nooxi
xiết nợ,xiết_nợ,xieest_nowj
xiêu,xiêu,xieeu
xiêu,xiêu,xieeu
xiêu bạt,xiêu_bạt,xieeu_bajt
xiêu dạt,xiêu_dạt,xieeu_dajt
xiêu đổ,xiêu_đổ,xieeu_ddoor
xiêu lòng,xiêu_lòng,xieeu_lofng
xiêu lòng,xiêu_lòng,xieeu_lofng
xiêu tán,xiêu_tán,xieeu_tasn
xiêu vẹo,xiêu_vẹo,xieeu_vejo
xiêu vẹo,xiêu_vẹo,xieeu_vejo
xiêu xiêu,xiêu_xiêu,xieeu_xieeu
xiêu xọ,xiêu_xọ,xieeu_xoj
